Date;3698 - Exchange rate - Free - United States dollar (sale) - period average - 3698 - c.m.u./US$
01/2023;5.2007
02/2023;5.1717
03/2023;5.2115
04/2023;5.0197
05/2023;4.9828
06/2023;4.8516
07/2023;4.8008
08/2023;4.9035
09/2023;4.9370
10/2023;5.0648
11/2023;4.8983
12/2023;4.8972
01/2024;4.9144
02/2024;4.9644
03/2024;4.9801
04/2024;5.1291
05/2024;5.1330
06/2024;5.3890
07/2024;5.5420
08/2024;5.5526
09/2024;5.5416
10/2024;5.6241
11/2024;5.8071
12/2024;6.0970
01/2025;6.0218
02/2025;5.7656
03/2025;5.7468
04/2025;5.7837
05/2025;5.6674
06/2025;5.5471
07/2025;5.5285
08/2025;5.4469
09/2025;5.3674
10/2025;5.3855
11/2025;5.3409
Source;BCB-DSTAT
