Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;Column1;_1;_2;_3;_4;_5;_6
Variável - Produto Interno Bruto a preços correntes (Mil Reais);;;;;;;
Nível;Cód.;Unidade da Federação;Ano;;;;
Nível;Cód.;Unidade da Federação;2019;2020;2021;2022;2023
UF;11;Rondônia;47091336;51598741;58170096;66795454;76456179
UF;12;Acre;15630017;16476371;21374440;23676136;26291321
UF;13;Amazonas;108181091;116019139;131531038;145140465;161794976
UF;14;Roraima;14292227;16024276;18202579;21095342;25124805
UF;15;Pará;178376984;215935604;262904979;236141874;254546511
UF;16;Amapá;17496661;18469115;20099851;23614291;28020120
UF;17;Tocantins;39355941;43649803;51780764;58208795;64317699
UF;21;Maranhão;97339938;106915962;124980720;139789146;149227195
UF;22;Piauí;52780785;56391257;64028303;72834504;80916856
UF;23;Ceará;163575327;166914536;194884802;213600674;232239257
UF;24;Rio Grande do Norte;71336780;71577107;80180733;93819291;101740275
UF;25;Paraíba;67986074;70292034;77470331;86094173;96963174
UF;26;Pernambuco;197853378;193307317;220813522;245828017;270474919
UF;27;Alagoas;58963729;63202349;76265620;76065806;89688932
UF;28;Sergipe;44689483;45409657;51861397;57372241;60816662
UF;29;Bahia;293240504;305320813;352617852;402646606;430987853
UF;31;Minas Gerais;651872684;682786116;857593214;906730670;971977551
UF;32;Espírito Santo;137345595;138445922;186336505;182548590;209829732
UF;33;Rio de Janeiro;779927917;753823711;949300770;1153512155;1172871443
UF;35;São Paulo;2348338000;2377638980;2719751231;3130333203;3444814033
UF;41;Paraná;466377036;487930594;549973062;614610848;670919162
UF;42;Santa Catarina;323263857;349275016;428570889;466274103;513392973
UF;43;Rio Grande do Sul;482464177;470941846;581283677;593633656;650107022
UF;50;Mato Grosso do Sul;106943246;122627726;142203766;166407329;184402118
UF;51;Mato Grosso;142122028;178649564;233390203;255527297;273008586
UF;52;Goiás;208672492;224126112;269627874;318586149;336746975
UF;53;Distrito Federal;273613711;265847334;286943782;328789563;365669108
